kegg_compound	bigg_id	universal_bigg_id
C00383	malon_c	malon
C08276	mtpp_c	mtpp
C03167	Pald_c	Pald
C16242	codscl5a_c	codscl5a
C16244	codscl7_c	codscl7
C11545	codscl8x_c	codscl8x
C01788	cdpabeq_c	cdpabeq
C03079	4hglu_c	4hglu
C02376	5mcsn_c	5mcsn
C09821	6occhcoa_c	6occhcoa
C00506	Lcyst_c	Lcyst
C00436	Ncbmpts_c	Ncbmpts
C00207	acetone_c	acetone
C02527	butpi_c	butpi
C06322	ch15deccoa_c	ch15deccoa
C18172	cspmd_c	cspmd
C00125	ficytC_c	ficytC
C00923	ficytC_c	ficytC
C01070	ficytC_c	ficytC
C06260	ficytb_c	ficytb
C00126	focytC_c	focytC
C01071	focytC_c	focytC
C16999	fut_c	fut
C00697	n2_c	n2
C00146	phenol_c	phenol
C15584	phenol_c	phenol
C05723	polglu_c	polglu
C06032	r3mmal_c	r3mmal
C00109	2obut_e	2obut
C01468	4crsol_e	4crsol
C00633	4hbald_e	4hbald
C01478	aso4_e	aso4
C11215	aso4_e	aso4
C02632	ibt_e	ibt
C00209	oxa_e	oxa
C05979	ppoh_e	ppoh
C00506	Lcyst_p	Lcyst
C00193	bzal_p	bzal
C00261	bzal_p	bzal
C00697	n2_p	n2
C00146	phenol_p	phenol
C15584	phenol_p	phenol
C02094	caro_c	caro
C00500	biliverd_c	biliverd
C00139	fdxo_2_2_c	fdxo_2_2
C05427	phdp_c	phdp
C11831	dvpchlld_c	dvpchlld
C11829	hmppp9_c	hmppp9
C14152	bvite_c	bvite
C05431	neuspn_c	neuspn
C00070	cu2_u	cu2
C05668	3hpcoa_c	3hpcoa
C05637	48dhoxquin_c	48dhoxquin
C01181	4tmeabutn_c	4tmeabutn
C00906	56dthm_c	56dthm
C01132	acgal_c	acgal
C03201	ak2g_hs_c	ak2g_hs
C04317	ak2lgchol_hs_c	ak2lgchol_hs
C03715	akdhap_hs_c	akdhap_hs
C00402	asp__D_c	asp__D
C05851	coumarin_c	coumarin
C01678	cysam_c	cysam
C05141	estriol_c	estriol
C05385	glcur1p_c	glcur1p
C00388	hista_c	hista
C00521	limnen_c	limnen
C06078	limnen_c	limnen
C06099	limnen_c	limnen
C01595	lnlc_c	lnlc
C02050	lnlccoa_c	lnlccoa
C06427	lnlnca_c	lnlnca
C16162	lnlncacoa_c	lnlncacoa
C07266	nifedipine_c	nifedipine
C00547	nrpphr_c	nrpphr
C01953	prgnlone_c	prgnlone
C05698	selhcys_c	selhcys
C00795	tag__D_c	tag__D
C07148	tolbutamide_c	tolbutamide
C06441	xu1p__D_c	xu1p__D
C00234	10fthf_e	10fthf
C00060	Rtotal_e	Rtotal
C00162	Rtotal_e	Rtotal
C02403	Rtotal_e	Rtotal
C00060	Rtotal2_e	Rtotal2
C00162	Rtotal2_e	Rtotal2
C02403	Rtotal2_e	Rtotal2
C00695	cholate_e	cholate
C00187	chsterol_e	chsterol
C00791	creat_e	creat
C05422	dhdascb_e	dhdascb
C04555	dheas_e	dheas
C00951	estradiol_e	estradiol
C00518	ha_e	ha
C00104	idp_e	idp
C02166	leuktrC4_e	leuktrC4
C00001	oh1_e	oh1
C01328	oh1_e	oh1
C01120	sph1p_e	sph1p
C07394	taxol_e	taxol
C05465	tdchola_e	tdchola
C02198	txa2_e	txa2
C00015	udp_e	udp
C00075	utp_e	utp
C00033	ac_g	ac
C00575	camp_g	camp
C01306	core3_g	core3
C04917	core4_g	core4
C00325	gdpfuc_g	gdpfuc
C01330	na1_g	na1
C00350	pe_hs_g	pe_hs
C00334	4abut_l	4abut
C00147	ade_l	ade
C00588	cholp_l	cholp
C00330	dgsn_l	dgsn
C00882	dpcoa_l	dpcoa
C00037	gly_l	gly
C00144	gmp_l	gmp
C00159	man_l	man
C00101	thf_l	thf
C00181	xyl__D_l	xyl__D
C01205	3aib_m	3aib
C06000	3hibutcoa_m	3hibutcoa
C03069	3mb2coa_m	3mb2coa
C03231	3mgcoa_m	3mgcoa
C00606	3sala_m	3sala
C00956	L2aadp_m	L2aadp
C01888	aact_m	aact
C00164	acac_m	acac
C00853	cbl1_m	cbl1
C00114	chol_m	chol
C00327	citr__L_m	citr__L
C00177	cyan_m	cyan
C01326	cyan_m	cyan
C00458	dctp_m	dctp
C03221	dd2coa_m	dd2coa
C04509	decdp_m	decdp
C17432	decdp_m	decdp
C18321	decdp_m	decdp
C00330	dgsn_m	dgsn
C00363	dtdp_m	dtdp
C00144	gmp_m	gmp
C00630	ibcoa_m	ibcoa
C05936	n4abutn_m	n4abutn
C16218	od2coa_m	od2coa
C00166	phpyr_m	phpyr
C00647	pyam5p_m	pyam5p
C11499	sl__L_m	sl__L
C00094	so3_m	so3
C11481	so3_m	so3
C01081	thmmp_m	thmmp
C00320	tsul_m	tsul
C05529	tsul_m	tsul
C03684	6pthp_n	6pthp
C01996	ach_n	ach
C00165	dag_hs_n	dag_hs
C00641	dag_hs_n	dag_hs
C00239	dcmp_n	dcmp
C01344	didp_n	didp
C00039	dna_n	dna
C00058	for_n	for
C00044	gtp_n	gtp
C00005	nadph_n	nadph
C00455	nmn_n	nmn
C00777	retn_n	retn
C00272	thbpt_n	thbpt
C01157	4hpro_LT_r	4hpro_LT
C03651	4hpro_LT_r	4hpro_LT
C00345	6pgc_r	6pgc
C00084	acald_r	acald
C00008	adp_r	adp
C00026	akg_r	akg
C00019	amet_r	amet
C00318	crn_r	crn
C00487	crn_r	crn
C05141	estriol_r	estriol
C00016	fad_r	fad
C00448	frdp_r	frdp
C00249	hdca_r	hdca
C01953	prgnlone_r	prgnlone
C00042	succ_r	succ
C00105	ump_r	ump
C05668	3hpcoa_x	3hpcoa
C01143	5dpmev_x	5dpmev
C03771	5g2oxpt_x	5g2oxpt
C00084	acald_x	acald
C03715	akdhap_hs_x	akdhap_hs
C00041	ala__L_x	ala__L
C01401	ala__L_x	ala__L
C00402	asp__D_x	asp__D
C00235	dmpp_x	dmpp
C00016	fad_x	fad
C00798	forcoa_x	forcoa
C00448	frdp_x	frdp
C00160	glyclt_x	glyclt
C00341	grdp_x	grdp
C00262	hxan_x	hxan
C00515	orn__D_x	orn__D
C00894	prpncoa_x	prpncoa
C00042	succ_x	succ
C00385	xan_x	xan
C16590	7ohp_c	7ohp
C16583	Rh2cit_c	Rh2cit
C06010	alac__S_e	alac__S
C03189	glyc1p_c	glyc1p
C06189	cdpg_c	cdpg
C03576	com_c	com
C00087	s_e	s
C19152	f420_1_c	f420_1
C05927	h2mpt_c	h2mpt
C00826	Largn_c	Largn
C19794	cdp_inost_c	cdp_inost
C02048	lmn2_c	lmn2
C00192	ham_c	ham
C04717	13Shpocdcy1829Z11Ea_c	13Shpocdcy1829Z11Ea
C01235	1Dgali_h	1Dgali
C04272	23dhmb_h	23dhmb
C11004	26dmani_e	26dmani
C03508	2aobut_x	2aobut
C05118	2mbdhl_m	2mbdhl
C00988	2pglyc_x	2pglyc
C01179	34hpp_h	34hpp
C05747	3hhexACP_h	3hhexACP
C05998	3hivcoa_m	3hivcoa
C16560	3hlido_c	3hlido
C04688	3hmrsACP_h	3hmrsACP
C05266	3hocoa_x	3hocoa
