ec_number	bigg_reaction_id
2.3.1.57	SPMDAT2
2.6.1.29	SPMDAT2
2.5.1.16	SPMS
1.15.1.1	SPODMpp
4.2.1.113	SUCBZS
6.2.1.5	SUCOAS
1.1.1.58	TAGURr
2.2.1.2	TALA
5.1.3.13	TDPDRE
2.7.1.130	TDSK
2.1.2.10	THFAT
4.1.2.48	THRA
4.1.2.5	THRA
1.1.1.103	THRD
4.3.1.19	THRD_L
6.1.1.3	THRTRS
2.2.1.1	TKT2
2.4.2.2	TMDPP
2.4.2.4	TMDPP
5.3.1.1	TPI
1.6.4.5	TRDR
1.8.1.9	TRDR
3.2.1.28	TREH
3.2.1.28	TREHpp
4.2.1.122	TRPS2
4.2.1.20	TRPS2
4.1.2.8	TRPS3
4.2.1.20	TRPS3
6.1.1.2	TRPTRS
3.6.3.25	TSULabcpp
3.6.3.55	TUNGSabcpp
4.1.99.19	TYRL
1.4.3.21	TYROXDApp
1.4.3.22	TYROXDApp
1.4.3.4	TYROXDApp
1.4.9.2	TYROXDApp
1.4.99.4	TYROXDApp
6.3.2.13	UAAGDS
1.1.1.336	UACMAMO
5.1.3.14	UAG2E
2.3.1.129	UAGAAT
2.7.7.23	UAGDP
6.3.2.9	UAMAGS
6.3.2.8	UAMAS
1.3.1.98	UAPGR
5.1.3.2	UDPG4E
5.4.99.9	UDPGALM
3.6.1.45	UDPGALPpp
1.1.1.305	UDPGDC
3.6.1.45	UDPGPpp
3.6.1.8	UDPGPpp
3.6.1.9	UDPGPpp
2.6.1.87	UDPKAAT
2.7.7.12	UGLT
3.5.1.116	UGLYCH
3.5.3.19	UGLYCH
6.3.2.10	UGMDDS
2.1.1.107	UPP3MT
4.1.1.37	UPPDC1
3.5.1.110	URACPAH
3.6.1.54	USHD
2.6.1.42	VALTA
2.6.1.6	VALTA
6.1.1.9	VALTRS
2.6.1.66	VPAMTr
5.3.1.5	XYLI2
3.6.3.5	ZN2abcpp
3.6.3.5	ZNabcpp
