kegg_reaction_id	bigg_reaction_id
R07171	NOX
R03545	ALCD4y
R07407	ASPO2y
R01172	BTCOARx
R00143	HAMR
R00357	ASPOm
R00355	ASPATh
R00765	G6PDA_1
R01473	UA4E
R00552	ARGDI
R01398	OCTh
R01398	OCTm
R00068	ASCBOR
R01108	GTHDHu
R02473	PBAL
R00905	BUPN
R02269	DHPD
R03200	CAS
R05633	CMS
R07481	CYARTMT
R02061	GGPS_1
R01123	IDIh
R05637	MCS
R02874	SMO
R07503	TCYD
R07236	TMTG
R07498	ZYMSTR
R07758	3OACOAS
R07761	ECOAR
R04672	APLh
R04672	APLm
R01172	BNORh
R03544	BTS
R03545	BTS_nadph
R01976	HBCO_nadp
R01976	HBCO_nadp_m
R01829	FBA3hi
R00206	PPDKh
R00024	RBPCh
R06962	LCYA
R03132	ACSERSULLm
R01288	SHSL2h
R00999	SHSL4h
R02433	AATC
R04859	CYSS_trdrd
R00586	SAT
R00586	SATm
R08349	CITALALDOR
R08294	LIDOMO
R08295	MEGLYXYLAMH
R08226	5FLURAOR
R08231	5FLURAPRT
R05102	CYTP450R
R08245	TGUAPRT
R04965	3HAD120_1
R07764	3HAD180_1
R04954	3HAD60_1
R04534	3OAR100_1
R04964	3OAR120_1
R04953	3OAR60_1
R01624	ACOATA_1
R04385	BTNC
R04355	KAS14_1
R03778	ACACT4m
R03858	ACACT6m
R03776	ACOAR3m
R03856	ACOAR5m
R04749	ECOAH2m
R04738	ECOAH7m
R04743	HACD4m
R04741	HACD5m
R04737	HACD7m
R01177	ACACT2
R03857	ACOA120OR
R03990	ACOA140OR
R01175	ACOA40OR
R05102	CYTP450Rh
R04746	ECOAH3_1
R04748	HACD2_1
R04620	AKP1_1
R00424	GTPCI_2
R01326	AM6PTh
R02568	FPGPL
R02732	PFK26_1
R01787	SBTRh
R01104	GGGH
R03418	GRGT
R06042	GRGT
R01192	IAGT
R06214	IAGT
R02926	MLGH
R01194	OAGMIG
R06093	OAGMIG
R01103	RGH
R06070	RGH
R00802	SGHA
R06088	SGHA
R00256	GAM
R00094	GDR
R00094	GDRm
R01072	PRDPARh
R00243	GDHm
R00497	GTHS_1
R00253	GALh
R00253	GALm
R00093	GLUS
R00243	GDH
R00248	GDH_nadp
R05717	GTHAMPOR
R05717	GTHAMPORh
R05717	GTHAMPORm
R03915	GTHPDSOR
R00842	G3PD1
R00844	G3PD2_1
R02529	AMO
R00371	GLYATx
R03425	GLYDHD
R01514	GLYPT
R00372	GLYTA_1
R03654	GLYTLm
R01771	HSK_1
R01334	PGLYCPh
R00582	PSP
R00751	THRA_1
R01466	THRS_1
R00480	ASPK_1
R01515	ACPh
R00658	ENOm
R01070	FBAf
R01070	FBAm
R02739	G6PIh
R01061	GAPDHf
R01061	GAPDHm
R01786	GLUKA
R01786	GLUKAh
R02740	PGIA
R03321	PGIBh
R00959	PGMTh
R00014	PDHam1hi
R00014	PDHam1mi
R01698	PDHe3hr
R01512	PGKm
R00200	PYKm
R00755	PDCh
R01655	MTHFCx
R00522	OXADCm
R01334	PGLYCPx
R03140	RBCh_1
R01167	HDC
R03013	HPh
R04037	PRACHh
R04640	PRICIh
R07058	13HODEOR
R07364	ACDO
R00179	ACPCS
R00192	ADSHm
R02026	AHAL
R01287	AHHST
R04858	DMT
R04405	MS
R01920	APAPTm
R00257	DNGALh
R00103	NPH
R00321	AMID_1
R00524	FORA
R00114	GLUS_nadph
R00794	NITR
R00790	NO2R
R01252	PROAKGOX1
R00936	DHFR2i
R04326	FGFTh
R04326	FGFTm
R02236	FOLR2_1
R02301	FTCL
R00946	METSm
R02300	MTAM
R04125	MTAM_nh4
R07168	MTHFO
R01224	MTHFO_nadp
R04391	APCPT
R02971	APNPT
R04439	DMORh
R01226	MTMOHT
R02473	PBALm
R00226	PPATDh
R01737	GNKh
R02035	PGLh
R01827	TAh
R01529	RPEh
R01830	TKT2h
R01073	ANTPPT
R00985	ATNS_nh4
R01714	CHRS
R02340	G3PL
R03508	IGPS_1
R00694	POATh
R01728	PPOR_1
R02722	SERH
R02412	SKK
R00674	TRPS2h
R00408	SUCDHh
R01986	ABOR
R01151	PTOR
R02393	BILIRED_1
R09067	CHLBSP
R00310	FCLT_1
R00078	FERO
R04109	GLUTRR_1
R02480	HEMELh
R07411	HEMEOSm_1
R06266	MPMECY2
R03222	PPPGO_1
R02864	SHCHF_1
R03194	UPP3MT_1
R03165	UPP3S_1
R03045	HPHL
R00233	MCDC
R06987	PCFPTm
R00919	PCNOn
R00921	PCPPTh
R00921	PCPPTm
R00509	AASPh
R00509	AASPm
R00126	ADATT
R00089	ADECn
R01858	AGPOP
R01858	AGPOPm
R01547	ATDAMh
R01547	ATDAMm
R01857	ATDGDm
R00330	ATGDm
R00086	ATPPHm
R01138	DAPOP
R03409	GDTP
R01231	GMPS_glu_m
R01229	GPAR
R00429	GTPDPK_1
R00430	GTPOPm
R00434	GUAC
R00434	GUACn
R01676	GUAD_1
R06601	HIUH
R00961	IDPA
R01130	IMPDm
R04144	PPRGL
R04144	PPRGLh
R04591	PRAISh
R01397	ASPCT_1
R00514	CDPPH
R02091	DGTCY
R01993	DHR
R02092	DTPH
R02097	DTTUP
R00575	HCGALm
R00962	ITCY
R00516	UTCY
R00315	ACKrh
R00315	ACKrm
R00746	ALCDH_nadp_hi
R00212	PFLACTm
R00019	HYDA
R00019	HYDAm
R05041	BATHORHODOPSINI
R02904	RHODOPSINRT
R08379	TRETINOLOR2
R02367	TRETINOLPMTACT
R03458	AUNOR
R04945	ACHMSSELCYSLh
R03601	ACSERLm
R04941	SELCYSTL
R04946	SUCHMSSELCYSLh
R03595	SLDK
R02737	UG6PGT
R06226	UG6PGT
R02737	UG6PGTn
R06226	UG6PGTn
R01385	UGE
R00948	GLPThi
R00533	SULO
R01324	ACONTx
R00342	MDHf
R00342	MDHh
R00341	PPCKm
R03181	MAAIn
R00005	ALPHm
R00774	URCB
R04441	DHAD_3mob_h
R05070	DHADh
R05068	KARI_23dhmp
R04138	MCTC
R07599	MOD
R07603	MOD_3mop
R07601	MOD_4mop
R01090	BCTA_glu_h
R02199	BCTAh
R01710	PYDXO_1
R03538	23CN2P2
R03929	23CN2P3
R01877	3NUCLE2
R00669	ACODA_1
R10563	ALCD19_L
R00554	ARGKr
R00551	ARGN_1
R00897	CYSS_2
R03026	ECOAH1_1
R04170	ECOAH5_1
R05707	FLVR_1
R03940	FMETTRS_1
R05608	GALCTD_1
R03634	GALS4
