bigg_reaction_id	stoichiometry	product_bigg_id
COLIPAabcpp	1	h_c
COLIPAabcpp	1	pi_c
COLIPAabcpp	1	colipa_p
COLIPAabctex	1	adp_c
COLIPAabctex	1	h_c
COLIPAabctex	1	pi_c
COLIPAabctex	1	colipa_e
CPGNR1	2.0	cpgn_un_c
CPGNR1	1	fad_c
CPGNR1	2.0	fe2_c
CPGNR1	2.0	h_c
CPGNR2	2.0	cpgn_un_c
CPGNR2	2.0	fe2_c
CPGNR2	1	fmn_c
CPGNR2	2.0	h_c
CPGNUtpp	1	h_c
CPGNUtpp	1	cpgn_un_p
CPGNabcpp	1	adp_c
CPGNabcpp	1	cpgn_c
CPGNabcpp	1	h_c
CPGNabcpp	1	pi_c
CPMPS	1	cpmp_c
CPMPS	1	ppi_c
CRNBTCT	1	crncoa_c
CRNBTCT	1	gbbtn_c
CRNDCAL2	1	adp_c
CRNDCAL2	1	crnDcoa_c
CRNDCAL2	1	pi_c
CRNDabcpp	1	adp_c
CRNDabcpp	1	crn__D_c
CRNDabcpp	1	h_c
CRNDabcpp	1	pi_c
CRNt2rpp	1	crn_c
CRNt2rpp	1	h_c
CRNt8pp	1	crn_c
CRNt8pp	1	crn__D_p
CRNtex	1	crn_p
CS	1	cit_c
CS	1	coa_c
CS	1	h_c
CSND	1	nh4_c
CSND	1	ura_c
CSNt2pp	1	csn_c
CSNt2pp	1	h_c
CTBTabcpp	1	adp_c
CTBTabcpp	1	ctbt_c
CTBTabcpp	1	h_c
CTBTabcpp	1	pi_c
CTBTt2rpp	1	ctbt_c
CTBTt2rpp	1	h_c
CTECOAI6	1	td2coa_c
CTECOAI7	1	hdd2coa_c
CTECOAI8	1	od2coa_c
CU1Opp	4.0	cu2_p
CU1Opp	2.0	h2o_p
CU2tex	1	cu2_p
CU2tpp	1	cu2_c
CYANST	1	h_c
CYANST	1	so3_c
CYANST	1	tcynt_c
CYNTAH	2.0	co2_c
CYNTAH	1	nh4_c
CYNTtex	1	cynt_p
CYSDabcpp	1	adp_c
CYSDabcpp	1	cys__D_c
CYSDabcpp	1	h_c
CYSDabcpp	1	pi_c
CYSDtex	1	cys__D_p
CYSTL	1	hcys__L_c
CYSTL	1	nh4_c
CYSTL	1	pyr_c
CYSTRS	1	amp_c
CYSTRS	1	cystrna_c
CYSTRS	1	ppi_c
CYSabc2pp	1	adp_c
CYSabc2pp	1	h_c
CYSabc2pp	1	pi_c
CYSabc2pp	1	cys__L_p
CYStpp	1	cys__L_p
CYTD	1	nh4_c
CYTD	1	uri_c
CYTDt2pp	1	cytd_c
CYTDt2pp	1	h_c
D_LACt2pp	1	h_c
D_LACt2pp	1	lac__D_c
D_LACtex	1	lac__D_p
DADNt2pp	1	dad_2_c
DADNt2pp	1	h_c
DAGK140	1	adp_c
DAGK140	1	h_c
DAGK140	1	pa140_c
DAGK160	1	adp_c
DAGK160	1	h_c
DAGK160	1	pa160_c
DALAt2pp	1	ala__D_c
DALAt2pp	1	h_c
DAMPtex	1	damp_p
DAPDC	1	co2_c
DAPDC	1	lys__L_c
DAPabcpp	1	26dap__M_c
DAPabcpp	1	adp_c
DAPabcpp	1	h_c
DAPabcpp	1	pi_c
DAPtex	1	15dap_p
DASYN140	1	cdpdtdecg_c
DASYN140	1	ppi_c
DASYN161	1	cdpdhdec9eg_c
DASYN161	1	ppi_c
DATPHs	1	ditp_c
DATPHs	1	nh4_c
DC6PH	1	acgam_c
DC6PH	1	acgam6p_c
DCAtex	1	dca_p
DCMPtex	1	dcmp_p
DCTPD	1	dutp_c
DCTPD	1	nh4_c
DCYTD	1	duri_c
DCYTD	1	nh4_c
DCYTt2pp	1	dcyt_c
DCYTt2pp	1	h_c
DDCAtexi	1	ddca_p
DDGLCNt2rpp	1	2ddglcn_c
DDGLCNt2rpp	1	h_c
DDGLCNtex	1	2ddglcn_p
DDGLK	1	2ddg6p_c
DDGLK	1	adp_c
DDGLK	1	h_c
DGK1	1	adp_c
DGK1	1	dgdp_c
DGMPtex	1	dgmp_p
DHACOAH	1	3hadpcoa_c
DHAD1	1	3mob_c
DHAD1	1	h2o_c
DHAtex	1	dha_p
DHBD	1	23dhb_c
DHBD	1	h_c
DHBD	1	nadh_c
DHCIND	1	dhcinnm_c
DHCIND	1	h_c
DHCIND	1	nadh_c
DHCINDO	1	h_c
DHCINDO	1	hkntd_c
DHFR	1	nadp_c
DHFR	1	thf_c
DHFS	1	adp_c
DHFS	1	dhf_c
DHFS	1	h_c
DHFS	1	pi_c
DHNAOT4	1	2dmmql8_c
DHNAOT4	1	co2_c
DHNAOT4	1	ppi_c
DHNCOAT	1	coa_c
DHNCOAT	1	dhna_c
DHNCOAT	1	h_c
DHNPTE	1	dhmpt_c
DHORD2	1	orot_c
DHORD2	1	q8h2_c
DHPPDA2	1	5apru_c
DHPPDA2	1	nh4_c
DHPTDNR	1	nadp_c
DHPTDNR	1	thptdn_c
DHPTPE	1	dhmptp_c
