bigg_id	universal_bigg_id	name
2agpg140_p	2agpg140	2-Acyl-sn-glycero-3-phosphoglycerol (n-C14:0)
2hdecg3p_p	2hdecg3p	2-hexadecanoyl-sn-glycerol 3-phosphate
2odecg3p_p	2odecg3p	2-octadecanoyl-sn-glycerol 3-phosphate
3amp_p	3amp	3  AMP C10H12N5O7P
3hpppn_p	3hpppn	3-(3-hydroxy-phenyl)propionate
4hoxpacd_p	4hoxpacd	4-Hydroxyphenylacetaldehyde
5mtr_p	5mtr	5-Methylthio-D-ribose
acald_p	acald	Acetaldehyde
acgal_p	acgal	N-Acetyl-D-galactosamine
acmum_p	acmum	N-Acetylmuramate
acser_p	acser	O-Acetyl-L-serine
akg_p	akg	2-Oxoglutarate
ala_B_p	ala_B	Beta-Alanine
ala__L_p	ala__L	L-Alanine
alpp_p	alpp	Applipoprotein
arab__L_p	arab__L	L-Arabinose
aso3_p	aso3	Arsenite
btn_p	btn	Biotin
butso3_p	butso3	Butanesulfonate
clpn140_p	clpn140	Cardiolipin (tetratetradecanoyl, n-C14:0)
crn_p	crn	L-Carnitine
cys__L_p	cys__L	L-Cysteine
cytd_p	cytd	Cytidine
ddca_p	ddca	Dodecanoate (n-C12:0)
dha_p	dha	Dihydroxyacetone
dimp_p	dimp	DIMP C10H12N4O7P
din_p	din	Deoxyinosine
doxrbcn_p	doxrbcn	Doxorubicin
dump_p	dump	DUMP C9H11N2O8P
eca2und_p	eca2und	(enterobacterial common antigen)x2 undecaprenyl-diphosphate
enlipa_p	enlipa	Phosphoethanolamine KDO(2)-lipid (A)
fe2_p	fe2	Fe2+ mitochondria
fe3dcit_p	fe3dcit	Fe(III)dicitrate
fecrm_p	fecrm	Ferrichrome
feoxam_p	feoxam	Generic ferrioxamine-Fe-III
feoxam_un_p	feoxam_un	Ferroxamine minus Fe(3)
fruur_p	fruur	D-Fructuronate
fuc__L_p	fuc__L	L-Fucose
g3pc_p	g3pc	Sn-Glycero-3-phosphocholine
g3pe_p	g3pe	Sn-Glycero-3-phosphoethanolamine
g3pi_p	g3pi	Sn-Glycero-3-phospho-1-inositol
glcn_p	glcn	D-Gluconate
glcur1p_p	glcur1p	D-Glucuronate 1-phosphate
glyc__R_p	glyc__R	(R)-Glycerate
glyc2p_p	glyc2p	Glycerol 2-phosphate
glyclt_p	glyclt	Glycolate C2H3O3
h_p	h	H+
h2_p	h2	Hydrogen
h2o_p	h2o	H2O H2O
hdca_p	hdca	Hexadecanoate (n-C16:0)
hg2_p	hg2	Mercury  charged 2  Hg
his__L_p	his__L	L-Histidine
