ReactionID	StochCoeff	Substrates	other site
R03701	1	C00019	
R03969	1	C00001	
R03969	1	C03673	
R03498	1	C03844	
R03498	1	C00006	
R06547	1	C12095	
R06547	1	C00029	
R06602	1	C00885	
R08674	1	C17229	
R08674	2	C00007	
R08674	2	C03024	
R01721	1	C00253	
R01721	1	C00019	
R07418	1	C15700	
R07418	1	C00001	
R07418	1	C00006	
R01709	1	C00001	
R01709	1	C00250	
R01709	1	C00007	
R03602	1	C01529	
R04891	1	C00001	
R04891	1	C05583	
R04891	1	C00003	
R03459	1	C00001	
R03459	1	C01304	
R04979	2	C00001	
R04979	3	C00030	
R04979	1	C05787	
R01478	1	C00001	
R01478	1	C03033	
R03718	1	C01794	
R03718	1	C00037	
R02411	1	C01235	
R02411	1	C00089	
R08495	1	C03470	
R07228	1	C00343	
R07228	1	C00001	
R07228	1	C00227	
R07228	1	C00565	
R07344	1	C15589	
R03014	1	C00002	
R03014	1	C00861	
R06867	1	C11521	
R06867	1	C00641	
R00372	1	C00037	
R00372	1	C00026	
R01495	1	C00002	
R01495	1	C00195	
R00908	1	C00099	
R00908	1	C00026	
R03678	1	C05913	
R03678	2	C00139	
R07060	1	C14830	
R07060	1	C00080	
R07060	1	C00005	
R03384	1	C00002	
R03384	1	C01214	
R11797	1	C21672	
R11797	3	C00019	
R05675	1	C07030	
R10017	1	C20292	
R10017	1	C06021	
R05658	1	C00001	
R05658	1	C11429	
R12594	1	C00329	
R12594	1	C00008	
R06495	1	C11958	
R06495	1	C11921	
R09106	1	C00406	
R09106	1	C18218	
R05804	1	C00031	
R05804	1	C00008	
R12177	1	C20834	
R12177	1	C00030	
R12177	1	C00007	
R01044	1	C00013	
R01044	1	C00116	
R03139	1	C00001	
R03139	1	C00986	
R03139	1	C00007	
R09913	1	C01054	
R00845	1	C00093	
R00845	1	C00006	
R00760	1	C00002	
R00760	1	C00095	
R08795	1	C02890	
R08795	1	C00080	
R08795	2	C00007	
R07837	1	C16283	
R07837	1	C00080	
R07837	1	C00007	
R07837	1	C00005	
R07851	1	C00080	
R07851	1	C15981	
R07851	1	C00007	
R07851	2	C00138	
R05154	1	C00080	
R05154	1	C06343	
R05154	1	C00007	
R05154	1	C00004	
R06546	1	C00029	
R06546	1	C08604	
R05258	1	C00001	
R05258	1	C00088	
R05258	1	C00472	
R05258	1	C00006	
R10035	1	C00001	
R10035	1	C05143	
R05179	3	C00019	
R05179	1	C00080	
R05179	1	C06403	
R06103	1	C00001	
R06103	1	G00293	
R01843	1	C00002	
R01843	1	C05382	
R07483	1	C11508	
R07483	1	C00080	
R07483	1	C00005	
R03273	1	C01247	
R03273	1	C00001	
R11533	1	C00019	
R11533	1	C00080	
R11533	1	C21442	
R08523	2	C16731	
R08523	1	C00027	
R06413	1	C11947	
R06413	1	C00003	
R06939	1	C14103	
R06939	1	C00080	
R06939	1	C00007	
R06939	1	C00004	
R01791	1	C00001	
R01791	1	C00721	
R07222	1	C00001	
R07222	2	C15602	
R07222	1	C00582	
R11900	1	C21753	
R12224	1	C22008	
R12224	1	C00007	
R12224	1	C03024	
R01992	1	C00001	
R01992	1	C00884	
R03239	1	C00081	
R03239	1	C01097	
R07221	1	C00001	
R07221	1	C01020	
R07221	1	C00007	
R08667	1	C00001	
R08667	1	C17242	
R01333	1	C00266	
R01333	1	C00001	
R01333	1	C00003	
R04318	1	C16672	
R01725	1	C00253	
R10460	1	C20638	
R10460	1	C00026	
R09823	1	C15681	
R09823	1	C00019	
R08791	1	C17591	
R08791	1	C00019	
R07330	1	C15571	
R07330	1	C00019	
R07917	1	C00019	
R07917	1	C01762	
R11679	1	C00013	
R11679	1	C00020	
R11679	1	C04076	
R11679	1	C00006	
R02319	1	C00001	
R02319	1	C00201	
R04804	1	C05437	
R05465	1	C00062	
R05465	1	C00118	
R10939	1	C20959	
R00423	1	C00043	
R11899	1	C20303	
R11899	1	C03576	
R00407	1	C00001	
R00407	1	C00091	
R12006	1	C21837	
R07562	1	C08592	
R07562	1	C00080	
R07562	1	C00007	
R07562	2	C00138	
R05136	1	C00022	
R05136	1	C06202	
R06947	2	C00080	
R06947	1	C00007	
R06947	2	C00138	
R06947	1	C08579	
R06055	1	C00140	
R06055	1	G10609	
R01015	1	C00118	
R07385	1	C04756	
R07385	1	C00001	
R10457	1	C20605	
R10457	1	C00235	
R06209	1	G10545	(n+m)
R06209	1	C00001	
R10998	1	C00100	
R10998	1	C15973	
R11294	1	C17702	
R11294	1	C00019	
R11294	1	C00080	
R11294	1	C06453	
R11294	1	C05359	
R00286	1	C00001	
R00286	1	C00029	
R00286	2	C00003	
R03953	1	C02515	
R03953	1	C01060	
R03953	1	C00027	
R08106	1	C16484	
R10498	1	C20652	
R10498	1	C00019	
R09820	1	C19946	
R09820	1	C00001	
R09820	1	C00006	
R10969	1	C00341	
R10969	1	C18012	
R02671	1	C00019	
R02671	1	C00632	
R02996	1	C15584	
R02996	1	C00850	
